N,P,K,temperature,humidity,ph,rainfall,label
29,12,13,29.67,94.52,6.09,108.59,orange
16,5,30,27.5,94.84,6.46,150.82,coconut
50,80,16,26.3,62.97,7.47,64.14,blackgram
102,14,54,27.89,91.69,6.19,27.21,muskmelon
30,16,12,26.49,92.99,6.18,106.26,orange
22,63,23,22.14,67.98,6.41,35.93,lentil
12,48,24,25.57,36.88,7.02,60.38,mothbeans
93,14,56,24.9,85.35,7.12,52.53,watermelon
107,13,49,27.27,84.49,6.48,41.84,watermelon
35,24,38,20.94,88.48,6.53,103.77,pomegranate
108,17,51,28.08,94.18,6.29,26.56,muskmelon
100,24,50,28.33,93.7,6.62,25.59,muskmelon
23,71,18,26.33,68.12,6.75,47.72,lentil
27,40,21,29.81,58.54,6.7,62.57,mothbeans
31,131,204,29.95,80.9,5.9,74.51,grapes
31,14,38,22.24,90.05,6.45,103.27,pomegranate
42,65,52,30.38,90.88,6.93,91.91,papaya
72,56,34,24.7,74.2,7.03,160.99,jute
36,22,37,19.24,89.66,6.67,103.5,pomegranate
109,24,30,26.62,59.5,6.93,153.41,coffee
23,136,204,27.99,81.82,5.78,69.34,grapes
28,2,29,27.16,94.51,5.71,149.69,coconut
79,55,39,24.65,75.7,6.22,147.55,jute
24,35,25,34.44,86.27,6.91,41.78,mungbean
79,51,39,24.57,81.25,7.42,164.72,jute
32,46,19,27.18,59.89,5.84,51.7,mothbeans
33,27,10,16.2,90.75,7.09,104.11,orange
106,90,47,26.98,82.69,6.02,106.41,banana
31,14,16,18.62,91.73,7.52,120.42,orange
105,37,20,20.1,70.77,6.56,94.43,maize
73,45,40,26.22,84.2,6.24,213.9,rice
37,126,199,23.27,91.65,6.0,113.66,apple
55,71,18,30.69,67.47,7.69,69.78,blackgram
34,55,23,32.92,84.61,6.64,49.95,mungbean
28,41,21,25.76,47.05,8.26,52.27,mothbeans
36,131,202,22.0,93.0,5.99,121.83,apple
32,143,202,30.76,82.32,5.87,68.38,grapes
42,53,52,39.03,95.32,6.89,148.58,papaya
36,64,17,23.18,21.0,5.68,105.8,kidneybeans
23,27,9,29.62,92.77,7.0,100.15,orange
27,6,29,25.35,90.01,5.9,170.58,coconut
89,47,38,21.85,84.62,5.89,245.41,rice
25,14,38,19.1,90.18,6.15,100.37,pomegranate
53,70,20,23.78,65.44,7.47,69.51,blackgram
47,54,50,42.63,92.24,6.76,142.21,papaya
25,44,19,29.81,49.85,4.02,57.73,mothbeans
27,56,25,34.58,83.91,6.13,42.13,mungbean
29,17,25,25.93,91.23,5.86,187.32,coconut
116,28,48,27.81,94.26,6.21,24.67,muskmelon
25,73,17,19.34,20.19,5.84,103.3,kidneybeans
29,21,39,22.61,92.88,5.57,111.07,pomegranate
33,22,30,26.6,94.9,5.75,144.68,coconut
35,72,74,20.89,17.01,8.61,71.17,chickpea
25,20,32,31.32,48.33,5.65,98.64,mango
35,32,29,33.04,47.7,5.31,97.74,mango
78,48,39,23.94,78.78,6.93,159.49,jute
40,64,17,30.36,65.22,6.74,68.87,blackgram
21,66,19,35.28,61.51,6.1,132.47,pigeonpeas
122,53,18,24.42,79.54,7.35,70.91,cotton
82,49,41,23.81,76.36,6.68,167.84,jute
34,127,201,34.4,80.78,5.78,72.18,grapes
27,72,22,32.34,54.71,6.22,148.55,pigeonpeas
88,24,48,27.11,93.79,6.28,22.09,muskmelon
46,65,82,21.54,16.56,7.2,78.78,chickpea
89,48,38,23.54,80.28,6.5,252.4,rice
44,66,74,19.54,14.43,7.11,74.56,chickpea
31,49,20,34.88,84.49,6.89,44.44,mungbean
38,130,200,21.99,92.14,6.07,111.74,apple
24,71,83,20.26,20.33,7.55,65.23,chickpea
125,23,31,25.5,51.58,6.66,152.85,coffee
44,61,24,29.31,65.55,7.19,70.74,blackgram
29,77,18,35.61,47.3,6.78,138.48,pigeonpeas
48,69,76,20.85,22.74,6.0,81.77,chickpea
25,53,24,30.47,88.01,6.26,42.21,mungbean
25,48,16,30.24,83.33,6.44,46.05,mungbean
29,16,39,21.53,89.97,5.9,107.04,pomegranate
27,130,199,26.6,82.21,6.57,69.65,grapes
99,39,39,24.86,76.56,6.55,181.95,jute
41,63,49,38.8,93.56,6.95,100.83,papaya
110,14,46,27.1,92.73,6.17,25.18,muskmelon
33,29,36,26.78,91.26,6.21,172.51,coconut
