Crop,District,Soil,Rainfall,Temperature,Humidity,N,P,K,pH,Season,Irrigation,Yield
Cotton,Vadodara,Red,1635.6,28.2,68.0,75.1,36.7,30.0,7.45,Kharif,Sprinkler,3.51
Barley,Amreli,Alluvial,450.9,16.3,58.4,71.8,33.3,79.2,5.92,Rabi,Rainfed,4.51
Cotton,Junagadh,Red,1519.9,30.3,66.4,92.9,23.6,21.8,8.35,Kharif,Rainfed,2.85
Cotton,Junagadh,Sandy,1493.2,22.5,92.3,51.1,63.0,47.7,7.06,Kharif,Rainfed,2.62
Wheat,Junagadh,Clay,776.3,25.2,71.3,91.7,83.7,24.3,6.09,Rabi,Canal,5.09
Soybean,Ahmedabad,Clay,1368.7,26.5,59.7,55.6,23.2,16.6,6.77,Kharif,Canal,3.18
Rice,Junagadh,Red,1795.9,33.1,83.2,131.2,62.1,111.1,8.05,Kharif,Drip,4.58
Barley,Vadodara,Red,700.7,24.4,56.5,34.4,67.1,94.9,7.18,Rabi,Rainfed,4.17
Barley,Bhavnagar,Red,740.9,13.6,55.4,44.2,81.7,64.9,7.19,Rabi,Drip,4.29
Soybean,Bhavnagar,Red,705.9,19.1,60.1,39.3,84.4,99.9,7.4,Kharif,Sprinkler,3.19
Barley,Junagadh,Sandy,452.6,24.5,58.9,116.9,81.7,48.4,5.83,Rabi,Rainfed,3.84
Cotton,Vadodara,Black,809.7,29.2,77.5,46.7,19.6,50.4,8.33,Kharif,Tube Well,3.05
Barley,Rajkot,Sandy,385.7,15.6,48.6,103.6,67.0,30.5,8.49,Rabi,Drip,3.91
Rice,Rajkot,Red,1543.3,28.3,81.6,91.1,16.5,53.8,6.23,Summer,Canal,5.4
Barley,Vadodara,Sandy,698.4,19.5,43.2,120.2,35.7,34.6,5.62,Rabi,Canal,4.73
Maize,Ahmedabad,Red,813.8,19.3,82.9,67.7,51.4,103.0,7.53,Kharif,Tube Well,4.97
Rice,Rajkot,Alluvial,1161.1,31.2,89.5,86.6,52.4,40.4,5.78,Kharif,Canal,5.58
Maize,Surat,Red,1077.8,19.2,55.7,127.8,58.5,16.0,5.8,Rabi,Drip,4.89
Maize,Rajkot,Clay,937.1,24.3,84.8,41.1,11.4,66.9,6.04,Rabi,Canal,5.78
Maize,Rajkot,Black,957.9,26.9,58.8,90.8,88.3,66.1,8.22,Rabi,Rainfed,5.58
Maize,Ahmedabad,Clay,1019.2,24.9,56.8,106.7,32.5,17.6,7.44,Rabi,Drip,5.85
Soybean,Bhavnagar,Red,1267.7,22.1,63.5,122.1,35.4,32.8,7.17,Kharif,Rainfed,2.96
Barley,Ahmedabad,Red,688.3,25.9,44.9,82.2,80.2,92.8,7.59,Rabi,Canal,4.31
Soybean,Ahmedabad,Alluvial,730.6,26.6,52.9,20.6,60.2,35.4,5.71,Kharif,Tube Well,4.47
Barley,Amreli,Sandy,535.9,17.3,43.3,89.4,12.9,63.9,7.13,Rabi,Tube Well,4.42
Barley,Rajkot,Sandy,802.4,17.0,44.4,82.7,71.6,37.7,7.37,Rabi,Canal,4.16
Cotton,Amreli,Clay,1375.9,31.8,69.2,35.9,87.6,90.0,5.62,Kharif,Rainfed,3.03
Wheat,Bhavnagar,Alluvial,451.4,13.1,55.0,102.6,14.7,111.1,6.83,Rabi,Sprinkler,4.57
Barley,Amreli,Black,504.0,25.4,65.8,86.5,58.9,59.1,6.24,Rabi,Sprinkler,4.96
Rice,Vadodara,Sandy,1236.0,35.7,70.3,22.1,71.1,99.7,6.54,Kharif,Drip,4.36
Barley,Amreli,Clay,688.7,20.9,41.6,65.0,60.1,67.8,8.07,Rabi,Canal,4.66
